,Title,Categories,Tags,Replies,Post,Comment
0,About the Command Line FAQ category,"Get Help,Git",,3,"
Command line is a powerful and precise mouse-free tool for interacting with a computer; it is often deemed near-essential for accomplishing advanced coding tasks. This forum category covers the content of Codecademy’s command line courses.
","
Can you give an example why a coder would use command line?
Thanks !!

Can you give an example why a coder would use command line?
Thanks !!
"
1,What does 'pwd' mean and why is it useful?,"Get Help,Git",,2,"
Question
What does ‘pwd’ stand for and what makes it useful?
Answer
It stands for ‘Print Working Directory’ and it comes in handy when you want to ensure you’re in the right directory.
If you find yourself confused about where you’ve navigated to in future lessons or in the real world, it’s helpful to use pwd to see where you are, and ls to see what’s available to move into.
","
very helpful command indeed
"
2,Do I have to type the full name of a directory to navigate to it?,"Get Help,Git",,4,"
Question
Do I have to type the full name of a directory to change into it every time? It seems like a lot of repeated, unnecessary typing.
Answer
It is unnecessary! Luckily, you can save a lot of time and keystrokes by typing enough of the directory name for it to know which to select and then just press tab.
For example, say you type ls and see that you have three directories available to cd into:
myFolder, yourFolder, myOtherFolder
If you type in myF and then press tab, you’ll see that it autocompletes myFolder! That comes in handy, especially with long file names.
","
While you do need the full name, and to follow the syntax closely. As mentioned, tab is a useful tool to help save time. Another useful tool is the up-arrow key. This will bring forth commands that you have used earlier that you wish to reuse or modify slightly. This also saves time if you made a mistake in your command and need to edit it, without needing to type out the full command again.

This is so useful that it should be on the regular course. 

Agreed. I found out about the tab-shortcut after trying (and failing) to use the short command from windows cmd prompt (“cd m~” to “cd myFolder” (or whatever file/directory starting with m))
"
3,"Pipeline ""|"" versus output redirection "">""","Get Help,Git",,16,"
Question
The uses of output redirection, >, and pipelining, |, seem similar. What is the distinction in their use?
Answer
The distinction here is between storage and use as input. Consider the following example
cat volcanoes.txt | wc
from this lesson. Here we’re using the result of the left side, cat volcanoes.txt, as input to the right side, wc. If we instead wrote
cat volcanoes.txt > wc
then we would use the result of the left side and store it into a file called wc. This is a very different behavior than what we did with | above.
","



 zjedwin:

The uses of output redirection, > , and pipelining, |


I was confused by this lesson:
$ cat volcanoes.txt | wc | cat > islands.txt
if we want to “pipe” the standard output of volcanoes.txt to islands.txt, could we write
$ cat volcanoes.txt | wc > islands.txt  ? cat islands.txt turns out the same result as the lesson.
And please explain to me what the difference between storage and use as input?

I’m confused about this as well. Could someone help plz?

wc fav-cities.txt > cities.txt appears to do the same thing. Is the piping just to create a use case for it? Is there a better example of piping that does not contain a command such as wc, since wc gives output already?

I am joining the earlier question. Also, confused about the role of wc in this setting. It was written in the initial explanation "" the  wc  command outputs the number of lines, words, and characters in  volcanoes.txt , respectively"", but still I am not really getting it.  @zjedwin I would appreciate more information on this redirection command.

So… Is it safe to say that  …

$ cat boats.txt | sort > sorted-boats.txt

Just means …

Display contents of “boats.txt”


WHILE - organizing the content inside “boats.txt”


THEN - Create a new .txt called “sorted-boats.txt” with the contents that we organized in “boats.txt” inside

???




 bsmithmj:

organizing the content inside “boats.txt”


Drawing on (reading) the content from boats.txt, sorting it and storing it in sorted-boats.txt. The original file will remain untouched.

The lines
cat volcanoes.txt | wc | cat > islands.txt
and
cat volcanoes.txt | wc > islands.txt
do the same thing. There will often be many ways to accomplish any task. No need to be confused.
For the difference between “storage” and “use as input”, simply note that there is a difference between saving something for later and using it immediately and then throwing it away.
With x | y, you’re saying: take the output of x and use it as the input for y. You don’t save the output of x; you’re just passing it along to y. So you’re using it as input rather than storing it someplace.
On the other hand, x > y says: save, i.e. store, the output of x into the location defined by y.

wc is not a redirection command. It simply provides some statistics on an arbitrary file that is passed to it. In particular
number_of_lines number_of_words number_of_characters file_name
Simply test what the output of this function shows for an arbitrary file on your machine. Like this:
wc my_file
Redirection comes from operators like | and > which simply allow you to chain commands together.

I think I understand the use of the pipeline command well but what I don’t understand is why some of the exercises add unneccesary steps like doing
$ cat text_file.txt | sort ETC.
instead of just starting with
$ sort text_file.txt ETC.
I was able to complete these challenges without the extra useless steps and wasn’t sure what the point of those steps were; was it just to make it easier for beginners to understand by showing the whole flow of steps?, or to get us used to a certain conventional way of using the command line?, or just an accident?




 bsmithmj:

$ cat boats.txt | sort > sorted-boats.txt


can I also write this then?
$ sort boats.txt  > sorted-boats.txt

Yes I have the same question too!
Would this work too?:
$ sort boats.txt > sorted-boats.txt

Can we consider ‘wc’ as a temporary variable where we save our result of cat volcanoes.txt?

wc is a command literally ‘word count’, you need specify input for it to do the count on. in our example cat volcanoes.txt | wc | cat > islands.txt

output content of volcanoes.txt file to the terminal
count words what was outputted in step 1
output to terminal the result of word count from step 3 (actually redundant step as was outlined before)
save output to file islands.txt





 zjedwin:

The lines
cat volcanoes.txt | wc | cat > islands.txt
and
cat volcanoes.txt | wc > islands.txt
do the same thing. There will often be many ways to accomplish any task. No need to be confused.


I get that the course was trying to show the chaining of pipes in that example. But if it does exactly the same thing as the other one, it’s not a good example imo. Could you show a situation where it clearly shows the point of chaining?

What is the difference then between redirecting stdin and piping?
"
4,"What is a good use of input redirection ""<""?","Get Help,Git",,8,"
Question
The example given for the use of input redirection here:
cat < lakes.txt
Doesn’t seem particularly helpful since is does the same thing as cat lakes.txt. Please share a case where the use of input redirection, <, makes an important contribution.
Answer
There’s redundancy in the above example because most of the built-in functions that we would want to use in redirecting input, cat and sort for example, already directly accept files as input. So we won’t get any added benefit from using <. However, if a function is designed to simply read from the standard input, then < helps us out.
Let me be more explicit. Suppose you write a function which expects some user input. The typical ways that we do this in a programming language reads directly from stdin. It’s tedious to test or interface with this function completely through the standard input. So we may either write a collection of test input in a file or aggregate real input to this program in a file, prior to calling the function. How do we then make the program believe that it’s reading from stdin while it’s actually reading from the file we made? We accomplish this by using < where on the left side, we have our (executable) program and on the right we have the file we created. In this way, we pass all of the input to the function at once. This proves to be extremely handy in testing and interacting with programs in the command line.
","
Hello CC Moderator,
It is great that this question is addressed in FAQ section, however the part after

Let me be more explicit …

did not make any sense to me.
I am not sure whether this is because it is addressed to the audience, who is more advanced in Web Development or Computer Science.
Can a simpler explanation/example be provided on relevance of the use of < command?
Thank you!

Hi zachg131,
I’m not an experienced developer, just like you, and I didn’t get the difference between those two commands. So I tried to google this topic and here’s what I found. It seems this explanation makes sense:

In the first case, cat opens the file, and in the second case, the shell opens the file, passing it as cat’s standard input.

Try to type “cat file.txt” command and point it out to the nonexisting file. You’ll get an error message from cat:

cat: test.txt: No such file or directory

Then try to type “cat < file.txt” command and point it out to the nonexisting file. You’ll get an error message from bash:

-bash: text.txt: No such file or directory

Basically, if I understood it right, this means that in the first case, cat opens the file, in the second case bash opens the file first and then passes the result to cat.
Here are some more details:

Technically, they could have different effects. For instance, it would be possible to have a shell implementation that was more (or less) privileged than the cat program. For that scenario, one might fail to open the file, while the other could.


That is not the usual scenario, but mentioned to point out that the shell and cat are not the same program.

Hope this helps.

Hi zachg131,
I may know what you mean.
You want to know why do we use ‘<’ if we can cat xxx.txt (rather than
cat < xxx.txt).
The scenario which advisor mentioned is like this:
When you ‘cat xxx.txt’ with content  1, 2, 3, it prints 1, 2, 3
If you have a file abc with a function “def abc(x, y, z)” and you want to test the function with inputs 1, 2, 3 (pass 1, 2, 3 values to variables x, y, z ) that are stored in xxx.txt. you can use “cat abc < xxx.txt” instead of type 1, 2, 3. ( I am also a beginner so I don’t know what usually is an executable programme`s extension name and how exactly to test it.)

To expatiate, and as hinted in the lessons, commands (that take in user input/parameters) in bash typically read from a standard input (think of this as a formatted input that a command can easily process to give an answer - essentially, when one types an input to a command, that input gets formatted to a standard form, and then processed by the command. For example, in ‘cat volcanoes.txt’, ‘volcanoes.txt’ is formatted to a standard form for the cat command to process).
The results of any command are then pushed to either a standard output or standard error. The workings of showing the result are just in the same vein, similar to as you have in reading from standard input.
As an aside, one of the the themes that makes computing technology very efficient is implementing interfaces that abstract the internal workings of a system, command, function but require standard interfaces. Bash adheres to this theme with the use of standard input, standard output, and standard error.
To the question at hand:
cat lakes.txt: typical use of the cat command.
cat < lakes.txt: here, ‘<’ redirects the file ‘lakes.txt’ to a standard input and then cat works on the standard input to output a similar result as we would have seen in the first case of ‘cat lakes.txt’.
As zjedwin alluded, this approach lends itself easily to scenarios where ‘lakes.txt’ isn’t a file but say a complex command or the result of a command. In such case the complex command is evaluated, its output is then redirected by ‘<’ as a standard input to the cat command. To achieve the same result with the first approach would require a complex syntax - which is undesirable in writing efficient programs.

I found some nice tutorial series here about terminalstrong text
 

hope this will be helpful.

amazing explanation. thank you brother.

Corey Schafer is a gifted teacher , much more talented than sadly many of the teachers at Codecademy (a great programmer does not necessarily make a great teacher - and vice versa). 
"
5,Is it wise to edit or write in the bash profile?,"Get Help,Git",bash-scripting,9,"
Question
Is it wise to edit or write in the bash profile?
Answer
It all depends on a couple of factors: how comfortable we feel with the command line; if we know what kind of result the change will come about; and how helpful the change will be.
Most of the time the only changes we will need to make in our bash profile is to create aliases (simpler or memorable shortcuts to existing commands or command combinations)  or to write environment variables, which are variables that can be available from anywhere and any file inside your local machine, which allows for a higher level of safety, commonly used for sensitive data, like API keys, or certain URLs.
It is advisable to interact with it creating our own aliases, so it can feel more comfortable, we will notice that the .bash_profile  in our local machine is different than the one in  Codecademy, but do not worry, while what is already there is important, if we read through the comments we will see that it has a designated section for aliases and another one for environment variables. At the end it is our own bash profile, and since we are learning programming, it is something that we should not worry or fear.
","
how do I see all the aliases already created ?

Just type the “alias” command on the command line.

i have question.
i must use only bash_ profile as environment of can i create any environment with any name ?

Yeah, I think so because I have tried one with naming the environment with ~/.hello and it works.
$ source ~/.hello
$ pd /home/h1manshu


nano ~/.bash_profile


source ~/.bash_profile

Instead of typing it everytime, we can also make alias of it and make it much more easier.
First

nano ~/.bash_profile

Second

alias bp=“nano ~/.bash_profile”
alias sou=“source ~/.bash_profile”
echo “Created Successfully”

Third

Press Ctrl+O and Hit enter for Save
Ctrl+X for  exit as you have learned

Fourth
Now to activate it we have to write

source ~/.bash_profile

Now you have Successfully created alias for nano and source
But i will recommend that you type the whole command everytime as it will be more beneficial.

When I want to save the nano file with ^O it always opens a window asking me to select a file from the computer. Why is that the case. I can therefore only save with ^X.
I am really confused.
Help would be greatly appreciated. 

https://www.codecademy.com/courses/learn-the-command-line/lessons/environment/exercises/bash-profile
I tried to start from the beginning.  Now when I call the profile it says “permission denied”

no it isn’t advisable.  I just did it and now I can’t go back and I can’t go fhttps://www.codecademy.com/courses/learn-the-command-line/lessons/environment/exercises/bash-profile.  Help!
"
6,'ls' Command Not Working On Windows,"Get Help,Git",,17,"
Question
Why doesn’t the ‘ls’ command work when I try it on my computer or in the Codecademy terminal?
Answer
If your computer is running Windows, you’ll need to make sure you’re trying this command inside PowerShell. Otherwise, the command for Windows to do the same thing is dir.
If you’re trying the command in Codecademy’s environment and find it isn’t working as expected, make sure you’re typing it exactly as asked: ls. Note that Ls will not work – commands are case-sensitive! Any other variation will not work.
","
Try reloading the page. The command line wasn’t appearing for me until I did this.

To access the Windows command prompt just type **cmd**  on your start button. Then type  dir.

Powershell’s ‘ls’ command is an alias of a command-let, “Get-ChildItem”. Command-lets are built-in functions that perform specific tasks!
For further reference: https://docs.microsoft.com/en-us/powershell/module/microsoft.powershell.management/get-childitem?view=powershell-7

I tried it on PowerShell but didnt see the typed text. Instead, it just skipped to the next line.

Hi palinalyze,
Can you tell us what you have typed in Powershell?

Thanks for the promptness. I realize that for PowerShell, I do not need to type the Shell Prompt ($) just the command “ls”. As soon as I did, it displayed a directory of my location…
One question @tbruck, so PowerShell is sufficient for taking this section of the course? I dont need a unix-based system?

You’re right, the prompt $ does not have to be typed in the command line.
Regarding your question, I am not sure, I am not associated with Codecademy, nor a frequent user of Windows-based systems, but from what I know Microsoft has tried to mimic basic bash functionalities in PowerShell, so I think you will be fine with what you learn in the course.
If you’re interested in how PowerShell and bash are different, here’s an article I’ve found that tries to compare PowerShell to bash:


TheShellNut – 30 Sep 15



PowerShell equivalents for common Linux/bash commands
The majority of my colleagues have more of a Linux background than Windows. So their cat and their grep are near and dear to their heart and their first refl...





Microsoft also seems to (plan to) implement bash on Windows 10,



PowerShell – 1 Apr 16



Bash for Windows: Why it's awesome and what it means for PowerShell | PowerShell
This week at Build, Microsoft announced that we will be enabling you to run “Bash on Ubuntu on Windows” as a developer tool for Windows 10. It will natively support Ubuntu userspace and GNU/Linux utilities, including the apt-get package manager that...






The courses teaches bash. Codecademy provides the environment to run bash in the lesson.
If you rather want to use powershell, you should learn powershell.
powershell is very powerful, especially when used with c# and .net.
If you want to run bash on windows, there are several options, like WLS (windows linux subsystem).

Which Codecademy courses would you recommend for Windows based users if that is the case?

Codecademy doesn’t have a powershell course so far i know, cmd isn’t much
but i am sure there are powershell tutorials on the internet 

Does it mmean that the Command Line course at Codecademy will not be helpful for windows users? I really want to learn and pratice it, I’m also a pyhton learner and a pro-member)) … what could you please recommend?

There isn’t really a fixed answer for that. If never need a *nix system, then you are very likely better of learning powershell.

hello again, I decided to continue learning this chapiter “eventhough i was thinking comand lines in macs or *inux are != windows …” just to realise that the last point in the chapiter suggests “git gui” on windows with the same “comands” I’ve learned.
Thank Jesus !!! Thank you #Codecademy.

Actually, there are a bunch of different solutions. Git bash works, but windows 10 also has WSL (windows linux subsystem), given this was created with collaboration between microsoft and Canonical (company behind ubuntu, one of the most popular Linux distros), I would give WSL a try
I personally run a dual boot (two operating system installed along each other on the same machine), at boot you simply select the OS you want to run

Can’t we also use VM box or VM WARE where we can virtually run linux OS instead of WSL?

That is certainly possible, each approach has its pros and cons. You could even install Linux alongside windows.
"
7,How can I use these commands on a Windows computer?,"Get Help,Git",,36,"
Question
When I try to use touch on my Windows computer, it says the command is not found. How can I use this on Windows?
Answer
A good program for emulating a Linux environment is the Git Bash terminal. That article will show you how to set it up on Windows – don’t worry about the Git stuff. That’s another tool you should definitely become familiar with, but the Git Bash terminal will allow you to use touch, mkdir, etc.
","
Hey guys, don’t use touch. A more tradition way would be to use help for listed commands.
If your computer runs slowly, here’s a list!
help - Displays this message
mkdir - Makes a directory in the specified folder
echo - Prints a message
color - Changes the color of the screen


Hi, what is your reasoning behind not using ‘touch’ - especially as it is taught in the Command Line Course. Additionally, I’m afraid I don’t see the correlation between using ‘touch’ on BASH and ‘help’ on Windows. Could you clarify please?

Hi,
I was also looking for Windows equivalent and found something on this link:



Jon Gallant



Linux Touch Equivalent for Windows AKA How to Create a File Without a Name in...
Windows Explorer doesn’t allow you to create a file without a name:

Windows doesn’t have a native “touch” equivalent, which is a native Linux program that allows you to create empty files and change






If you have an updated Windows 10, then you can use WSL(Windows Subsystem for Linux). It is available for free from the Windows store. Just search for Ubuntu in Windows store and install it. For more information, check Microsoft’s website.
If you have any other version of windows, you can use emulator like cygwin.

Hi Guys.

What if I just want to work on cmd. It comes with windows and I don’t have to download any thing else.
What is the difference between cmd and WSL ( should i even be comparing these, sry! I am new to all this)
Why should i learn Command line for unix based systems while i work on windows all the time? I mean what are the advantages of this?
Are the skills learnt for unix transferable to other systems? I mean i couldn’t use any of the navigation commands learnt so far on cmd.





 rdb20:

What if I just want to work on cmd. It comes with windows and I don’t have to download any thing else.


then use powershell, its a lot more powerful and is also included in windows



 rdb20:

What is the difference between cmd and WSL ( should i even be comparing these, sry! I am new to all this)


WSL (windows subsystem for linux) is just linux running on windows. So then you still have a *nix based system.



 rdb20:

Why should i learn Command line for unix based systems while i work on windows all the time? I mean what are the advantages of this?


because a lot of servers (for websites) run linux another unix derivative, which all use POSIX standards, which means a command working on linux also works on macOS and solaris. And servers often don’t come equipped with a GUI, so you will need to use the command line.



 rdb20:

Are the skills learnt for unix transferable to other systems? I mean i couldn’t use any of the navigation commands learnt so far on cmd.


windows doesn’t honor POSIX standards, so yes, it makes sense you can’t use *nix commands on windows.

Awesome. Thank you so much. It makes sense now. thank you.

Use Windows PowerShell. If I knew this I wouldn’t waste my time installing WSL or Git Bash terminal. I’m not saying those two programs aren’t any good, I’m just finding it is easier to use Windows PowerShell to run the command lines teaching here instead of trying to install something that I, admittedly misunderstand its usage, and got mad when I couldn’t use it the way I want. I’m not gonna go into detail of my problems here to keep the answer short, but I just wanna say that knowing those programs are useful is good, but as a newbie – using Window PowerShell is way easier. I will learn to use those two programs in the future when I am more familiar with command lines.




 discreteloner:

using Window PowerShell is way easier.


powershell doesn’t have the simplicity of bash. But true, if you use a windows ecosystem you are better of with powershell
on the other hand, its interesting to ask yourself why windows is embracing linux so much

When I am more familiar with command line, is it better to continue using Windows PowerShell or is downloading WSL a better option?




 stetim94:

simplicity of bash


What is bash?
I just tried powershell ( searched poweshell in start menu - windows 7) and tried all commands learned so far. It worked.
As I haven’t yet completed the course , its use is still not apparent to me as it seemed to be a simple file management system. On Wikipedia it says that it can be used to automate tasks. What kind of tasks are we talking here?




 rdb20:

I just tried powershell ( searched poweshell in start menu - windows 7) and tried all commands learned so far. It worked.


powershell is maybe even more powerful then bash (dunno, haven’t used powershell much), but especially with the .net eco-system from what i have heard/gathered.



 rdb20:

its use is still not apparent to me as it seemed to be a simple file management system


file management is the thing you learn first, but you can do so much more. All kind of tasks can be automated. You can research it on the internet, its too broad for me to answer on this forum what bash is all capable of.

If you want to create new file,
other then using “touch”, which will not work in command prompt.
Use:
echo. > filename.txt
OR
type null> filename.txt

I think the best way to start diving into Linux is to get VirtualBox or somelike virtualization program and follow tutorial to get an Ubuntu system running in a window, in your Windows system.
Also you can dual boot.
Regards,

This is pretty annoying. I don’t use Mac, I use Windows. I’m now paying to learn commands I’ll never use.

Maybe not on your personal computer, but if you go into web development, you will find that many servers run linux. So knowing these commands can useful
there is a good change you will run into a *nix based operating system if you become a developer.
finally, you could be right and always use windows. Then this course is maybe not for you, that of course is a possibility.

I am also a windows user and am just starting out trying to learn SQL and then python.  As I went through the course I got to the section to create my development environment on my computer and so got directed to take the command line course.  I started to use Power shell.  It seems to work, but found that “touch” does not work. I found I can use a function “fsutil”  like this:
C:>fsutil file createnew emptyfile.txt 0
as long as I am running it as administrator.  It produced this:
File C:\emptyfile.txt is created
Also found that in command prompt without being an administrator I can use:  C:>type nul > empty.txt
Other commands seem to work: ‘ls’ works the same as ‘dir’; ‘md’ and ‘mkdir’ both work.
However, I don’t know if I will run into problems as I learn more commands.  Should I stay with Powershell, or switch to something else?  As a newbee it is hard to figure out and I can spend a lot of time spinning my wheels.
Thaniks
.

Once you gain enough experience, languages just become tools, and you use the right tool for the job.
If i had to develop an application in C# + .net, i would also use powershell, it juts fits together really well.
So in the end, it doesn’t matter. Learn what you need to do for the task at hand. If your intention is to build a web application with python (django, flask) and mysql or postgressql, hosting is more common on linux servers, so then learn bash.

Use Windows Linux Subsystem - https://docs.microsoft.com/en-us/windows/wsl/install-win10
It gives you everything you need.  (no need for cygwin anymore !!)
"
8,Why would I want to use nano?,"Get Help,Git",,6,"
Question
Why would I want to use nano?
Answer
On a regular basis, nano will not substitute our best text editor, but it used to be the text editor before there was a Graphical User Interface, it had stayed as part of the command line for the simplicity, while we could probably use Word for most of our document needs, if we are working already on the command line and we need to make a quick adjustment to one of our files, nano will be one of our best tools for the job, once we get the hang of a few of the commands needed,  the time spent updating a text file would be two times as fast in comparison to using any other known text editor.
It might not be a replacement for what we have been using now, but it is a helpful tool when we need to make quick updates or text files.
","
Thank you for this answer, really helpful.

If I want to update a word document from the command line, how can I do it?
I get only hieroglyphics.

Word files are not stored in plain text like .txt files, but in a binary or XML based format that is not properly readable by a plain text editor like nano.
For more information, have a look at


https://docs.microsoft.com/en-us/deployoffice/compat/office-file-format-reference,
https://wiki.fileformat.com/word-processing/


So what can you use nano for? For instance, can you adjust js files?




 silvith:

s?


You could. Code is generally stored in plain text even if it’s .js, .py, .cpp, etc…
Plenty of files are stored in plain text, basically when the output format of the text isn’t really something you want to waste resources saving.
"
9,What are practical uses of the echo command?,"Get Help,Git",,1,"
Question
We see here that the echo command can print to the standard output (usually the terminal) whatever we pass to it as an argument:
$ echo Hello!
Hello!
$

How do we practically utilize this command?
Answer
Let’s keep in mind here that the value of the command line functions is not only that we can use them in the terminal, but that we can write programs, called shell scripts, with them.
The echo command plays the same role as the print function in other languages. Along with printing common strings, “Hello!”, we can print the values of environmental variables to the standard output with echo. For example echo $PATH, will print the value of PATH: your search path. In this way, echo is as practical as any other print function.
",
