,Title,Categories,Tags,Replies,Post,Comment
0,[README] Learn C++,"Get Help,Git",,2,"
Welcome to Learn C++

C++ is used in many different industries for performance-critical applications that need to run fast and manage resources efficiently, including game development, software engineering, and scientific computing. This forum category covers broader discussion about C++ related topics.
This course contains the following Sections/Lessons:

Hello World

Hello World
Compile & Execute


Variables

Variables


Conditionals & Logic

Conditionals & Logic
Logical Operators


Loops

Loops
Errors


Vectors

Vectors


Functions

Functions
Code Challenge: C++ Functions
Functions: Scope & Flexibility


Classes & Objects

Classes and Objects


References & Pointers

References and Pointers




Topics in this course, By section:

Hello World
Variables
Conditionals & Logic
Loops
Vectors
Functions
Classes & Objects
References & Pointers

Projects in C++

All Project topics belong in the category #project
Sort By:

UFO
FizzBuzz

The Object of your Effection
Just to mention a few


FAQ’s
View all
Browse By:

Hello World
Variables
Conditionals & Logic
Loops
Vectors
Functions
Classes & Objects
References & Pointers

Q & A’s regarding to C++
View all
More resources from Codecademy
Module Key Concepts

Hello World
Variables
Conditionals & Logic
Loops
Vectors
Functions
Classes & Objects
References & Pointers

Articles:

Hello World
Compile & Execute
Basic Data Types
 Arrays
Why Object-Oriented Programming?
Memory Allocation

","
"
1,Learn C++ FizzBuzz Solution,"Get Help,Git",,4,"
My solution for the Learn C++ FizzBuzz Question 
#include <iostream>

int main(){
  
  
  for(int i = 1; i <=100; i++){

    if(i % 3 == 0 && i % 5 == 0){
      std::cout << ""FizzBuzz\n"";
    }
    else if(i % 3 == 0){
      std::cout << ""Fizz\n"";
    }
    else if(i % 5 == 0){
      std::cout << ""Buzz\n"";
    }
    else{
      std::cout << i << ""\n"";
    }
  }
  
  return 0 ;
  
}

","
great work! 
there is an official Learn C++ GitHub repo: https://github.com/Codecademy/learn-cpp
(if you want to upload to it)

This was my solution, a bit longer but it does the job.
#include <iostream>
#include <string>

std::string finalAnswer = """";

int main() {

  // Brain explodes here:
  for (int i = 1; i <= 100; i++){
    if (i % 3 == 0 && i % 5 == 0){
      finalAnswer = ""FizzBuzz"";
      std::cout << finalAnswer << std::endl;
    }
    else if (i % 3 == 0){
      finalAnswer = ""Fizz"";
      std::cout << finalAnswer << std::endl;
    }
    else if (i % 5 == 0){
      finalAnswer = ""Buzz"";
      std::cout << finalAnswer << std::endl;
    }
    else {
      std::cout << i << std::endl;      
    }
  }
}


Hello!! I notice when I put this statement:
if(i % 3 == 0 && i % 5 == 0){
std::cout << “FizzBuzz\n”;
}
at the end I don’t get the correct answer…why is this? Is this somehow tied to the fact that code is usually read from top to bottom?
"
2,Graphics Library,"Get Help,Git",general,3,"
How to get graphics in C++.Like some graphics library and places to learn about using graphics in C++
","
Check out this discussion thread, it’s pretty thorough: https://stackoverflow.com/questions/1186017/how-do-i-build-a-graphical-user-interface-in-c

Thank You. Will check it out
"
3,A faster way to compile and execute c++ code?,"Get Help,Git","variables,general",3,"
Very simple question,
it is taking me a long time to run code once. Is there a faster way to compile than typing into “BASH” g++ hello.cpp -o hello ./hello?
This takes very long.
","
combine the commands into one line and use ctrl p or up to repeat previous commands
you should probably also add -Wall

Use control C to copy and control v to paste or else use a ide if the code works paste it in codecademy
"
4,Harry Potter Sorting Hat Quiz,"Get Help,Git",,8,"
I did the task as instructions and as per my knowledge. However, at the end, I would not get sorted into any house. Comparing my code to the sample on github, the difference I saw is that my version had a + 1 on each answer, i.e:
if (answer4 == 1) {
hufflepuff + 1;
}
However, in the github version, it is:
if (answer4 == 1) {
hufflepuff++;
}
Why does ++; work and + 1; doesn’t?
","
hufflepuff + 1 is an expression but isn’t a reassignment to the variable.
All of the following would work:
hufflepuff = hufflepuff + 1;
hufflepuff += 1;
hufflepuff++;

The third option has the limit of only adding 1. The first two could increment the variable by any value.
Hope this helps!

Hi,
Thanks for the reply. But wouldn’t the + 1 be counted as Arithmetic? Like, hufflepuff + 8; wouldnt work as well? what about hufflepuff + ravenclaw?

hufflepuff + 8 would evaluate to whatever the value of hufflepuff is + 8, but where would that value be assigned? hufflepuff += 8 is shorthand for hufflepuff = hufflepuff + 8 Without the assignment operator = hufflepuff would still point to whatever value it did before. hufflepuff++ is shorthand for hufflepuff = hufflepuff + 1.
For example:
int hufflepuff = 2;
cout << hufflepuff + 8;
cout << hufflepuff;
hufflepuff += 8;
cout << hufflepuff;
hufflepuff++;
cout << hufflepuff;

Output:

10 <<This is the value of the evaluated expression: hufflepuff + 8
2  <<hufflepuff is still 2
10 <<hufflepuff’s value was changed by hufflepuff += 8
11 <<hufflepuff’s value was changed again by hufflepuff++

The value of hufflepuff didn’t change until after a reassignment using = or ++.

I got it now, the = sign makes it stick, just like it was explained to me but I didnt think it would apply in this case.
Thanks for the info.

I got this error:
sortinghat.cpp: In function 'int main()':
sortinghat.cpp:49:3: error: expected ';' before if'
      if (answer2 == 1) {
      ^~
sortinghat.cpp:53:3: error: 'else' without a previous 'if'
      else if (answer2 == 2) {
      ^~
sortinghat.cpp:69:3: error: expected ';' before if'
      if (answer3 == 1) {
      ^~
sortinghat.cpp:72:3: error: 'else' without a previous 'if'
      else if (answer3 == 2) {
      ^~~~

This is my current code:
#include <iostream>

int main() {
  int gryffindor = 0;
  int hufflepuff = 0;
  int ravenclaw = 0;
  int slytherin = 0;

  int answer1 = 0;
  int answer2 = 0;
  int answer3 = 0;
  int answer4 = 0;

  std::cout << ""=====================\n"";
  std::cout << ""The Sorting Hat Quiz!\n"";
  std::cout << ""=====================\n\n"";

  std::cout << ""Q1) When I'm dead, I want people to remember me as:\n\n"";

  std::cout << ""  1) The Good\n"";
  std::cout << ""  2) The Great\n"";
  std::cout << ""  3) The Wise\n"";
  std::cout << ""  4) The Bold\n\n"";

  std::cin >> answer1;

  if (answer1 == 1) {
    hufflepuff++;
  }
  else if (answer1 == 2) {
    slytherin++;
  }
  else if (answer1 == 3) {
    ravenclaw++;
  }
  else if (answer1 == 4) {
    gryffindor++;
  }
  else {
    std::cout << ""Invalid input\n"";
  }

  std::cout << ""Q2) Dawn or Dusk?:\n\n"";
  std::cout << ""  1) Dawn\n"";
  std::cout << ""  2) Dusk\n\n"";

  std::cin >> answer2
  
  if (answer2 == 1) {
    gryffindor++;
    ravenclaw++;
  }
  else if (answer2 == 2) {
    hufflepuff++;
    slytherin++;
  }
  else {
    std::cout << ""Invalid input\n"";
  }

  std::cout << ""Q3) Which kind of instrument most pleases your ear?\n\n"";
  std::cout << ""  1) The violin\n"";
  std::cout << ""  2) The trumpet\n"";
  std::cout << ""  3) The piano\n"";
  std::cout << ""  4) The drum\n\n"";

  std::cin >> answer3

  if (answer3 == 1) {
    slytherin++;
  }
  else if (answer3 == 2) {
    hufflepuff++;
  }
  else if (answer3 == 3) {
    ravenclaw++;
  }
  else if (answer3 == 4) {
    gryffindor++;
  }
  else {
    std::cout << ""Invalid input\n"";
  }

  std::cout << ""Q4) Which road tempts you most?\n\n"";
  std::cout << ""  1) The wide, sunny grassy lane\n"";
  std::cout << ""  2) The narrow, dark, lantern-lit alley\n"";
  std::cout << ""  3) The twisting, leaf-strewn path through woods\n"";
  std::cout << ""  4) The cobbled street lined (ancient buildings)\n"";

  std::cin >> answer4;

  if (answer4 == 1) {
    hufflepuff++;
  }
  else if (answer4 == 2) {
    slytherin++;
  }
  else if (answer4 == 3) {
    gryffindor++;
  }
  else if (answer4 == 4) {
    ravenclaw++;
  }
  else {
    std::cout << ""Invalid input\n"";
  }

  int max;
  std::string house;

  if (gryffindor > max) {
    max = gryffindor;
    house = ""Gryffindor"";
  }
  else if (hufflepuff > max) {
    max = hufflepuff;
    house = ""Hufflepuff"";
  }
  else if (ravenclaw > max) {
    max = ravenclaw;
    house = ""Ravenclaw"";
  }
  else if (slytherin >= max) {
    max = slytherin;
    house = ""Slytherin"";
  } 
  else {
    std::cout << house << ""!\n"";
  }
}

Explain what I should change to make the code work.

Check your error message, it’s pretty descriptive
sortinghat.cpp:49:3: error: expected ';' before if'
      if (answer2 == 1) {
      ^~

So it says in line 49: expected ';' before if', if you check a line before your if, you have std::cin >> answer3 without the ;
The rest of the else ifs in that clause don’t work because the first if isn’t considered valid.

Thanks, bro. Completely missed that.
"
5,Functions,"Get Help,Git",functions-c,7,"
In funtions in the following example
#include 
// Define oscar_wilde_quote() below:
void oscar_wilde_quote() {
std::cout << “The highest, as the lowest, form of criticism is a mode of autobiography.\n”;
}
int main() {
// Call your function here:
oscar_wilde_quote();
}
What happens?What is the use of it?
Instead we can just write
#include 
// Define oscar_wilde_quote() below:
int main() {
std::cout << “The highest, as the lowest, form of criticism is a mode of autobiography.\n”;
}
The above will also make the code smaller
Can someone explain what are functions 
Thank You
","
Hello! Functions are reusable code that can be used many times, by simply saying the function name. In this example, the function is quite long winded, but if you had a longer section of code, checking an input against certain arrays, and then print something out-and if this took 10 lines of code to do, you wouldn’t want to keep writing that out-so, you can write that out once (in a function), then just call the function as many times as you needed.
I hope this helps!

Hi @codeneutrino Thanks for replying
I have two questions
Q1)Even if I write the code as follows :
#include
// Define oscar_wilde_quote() below:
void oscar_wilde_quote() {
std::cout << “The highest, as the lowest, form of criticism is a mode of autobiography.\n”;
}
int main() {
// Call your function here:
oscar_wilde_quote();
}
int main1() {
// Call your function here:
oscar_wilde_quote();
}
Here I have written two times but the statement does not get printed twice it is just the same output. You can try by yourself
Q2) ‘the function is quite long winded’ What is the meaning of this sentence
Thank You

Try calling both oscar_wilde_quote() functions within the same main() function.



 krish2882005:

‘the function is quite long winded’ What is the meaning of this sentence


I meant that the name of the function is quite long, compared to what it does.

Hi @codeneutrino
yes that works but why cant I call it in more than one main function

The main function has special properties, if you will, in C++. It shows the program that the code inside it will be executed. Here is some more reading on the subject.

Ok,Thanks a lot.Got It
"
6,I'm cofused by the pass-by-reference section,"Get Help,Git",references-pointers,3,"
void swap_num(int &i, int &j) {

  int temp = i;
  i = j;
  j = temp;

}

int main() {

  int a = 100;
  int b = 200;

  swap_num(a, b);

  std::cout << ""A is "" << a << ""\n"";
  std::cout << ""B is "" << b << ""\n"";

}

According to code academy, the code as such will swap the numbers in the results so that A is B and B is A. However, if you remove the & (making it a reference no longer) it will just print A is A and B is B.
I completed the exercise but I don’t feel that it very well explained how making something a reference changes it’s value or changes how the code is out-put.
","
Hello! When you pass something by reference, a change to the parameter will directly affect the value of the variable passed into the function. Say if we took a function:
void add_num(int &no1, int no2) {
no1 = no1 + no2;
no2 = 5;
}

When we run the code:
int main() {

  int a = 100;
  int b = 200;

  add_num(a, b);

  std::cout << ""A is "" << a << ""\n"";
  std::cout << ""B is "" << b << ""\n"";

}

Since we passed no1 by reference, the variable a is directly changed, so the value of a after running the function is now 300. Since no2 was not passed by reference, it does not get altered in the function.
Passed by reference and not essentially have something to do with memory: when you pass something by reference, they refer to the same place in memory, whereas when you don’t pass something by reference, a copy of that object is made, so the original isn’t altered.
Here is some more reading on it.
I hope this helps!

That does help, thanks, it’s a better explanation than the lesson, even though this is still kind of a weird one for me to wrap my head around…
"
7,Text adventure: Can't get this while loop to work,"Get Help,Git","loops,general",17,"
Hi,
I am trying to do the text adventure project (https://www.codecademy.com/practice/projects/build-a-text-adventure), and I’m having some problems. I’ll paste the code below. Note that I am using filler text here:

#include <iostream>

int main () {

  
  std::cout << ""\nLorem ipsum\n\n"";

  char choice1;

  std::cout << ""Make a choice: A, B or C?"";  
  std::cin >> choice1;
  
  while (choice1 != 'A', 'a', 'B', 'b', 'C', 'c') {
    
    std::cout << ""Invalid entry. Try again!"";    
    std::cin >> choice1;
    
  }
  
    
  if (choice1 == 'A' or choice1 == 'a') {
    
    std::cout << ""\nYou chose A.\n\n"";
    
  }
  
  else if (choice1 == 'B' or choice1 == 'b') {
    
    std::cout << ""\nYou chose B.\n\n"";
    
  }
  
  else if (choice1 == 'C' or choice1 == 'c') {
    
    std::cout << ""\nYou chose C.\n\n"";
    
  }


}


I am coding in notepad and compiling/executing in Windows, as Codecademy keeps disconnecting on me, at least in this exercise. In any case, when I execute the program I get to the “Make a choice” line, but when I try to make an input, I get the “Invalid entry” line no matter what I type, whether I type “A” or “b” or “x” or “1”. And if I type several characters, like “ax”, I get the “Invalid input” line an equal number of times, repeatedly. After a while, the program crashes.
What I want is that the player will get the “Invalid entry” line (one of them, not one for each character they type), no matter what they type unless it’s one of the six charcters I have entered, and that they will get this indefinitely until they enter a valid character. Then I want them to get the “You chose X” line, corresponding to what character they typed.
I have tried several alternatives, including:

 while (choice1 != 'A' and choice1 != 'a' and choice1 != 'B' and choice1 != 'b' and choice1 != 'C' and choice1 != 'c')


But I can’t get it to work, so I imagine I must be doing something fundamentally wrong.
Any help would be greatly appreciated.
","



 shampoomactavish:

while (choice1 != 'A', 'a', 'B', 'b', 'C', 'c') {



there’s only one comparison being made there
you could start with figuring out how to compare one character to several, without involving a loop or user input, and when you know how to do that you can move on to the next problem whatever that is
comparing one thing to several is repetition, I suggest using a loop
and, if you’re writing code to handle one character at a time, then you probably shouldn’t expect it to do something smart when you input several characters at once, that seems a bit like you haven’t entirely decided what should happen there


there’s only one comparison being made there
you could start with figuring out how to compare one character to several, without involving a loop or user input, and when you know how to do that you can move on to the next problem whatever that is

I am not sure I understand. First, I don’t understand what you mean with “comparing” in this context. Secondly, I am not sure how I would figure out how to figure that out. That’s kind of the problem.

comparing one thing to several is repetition, I suggest using a loop

I thought using while is using a loop?

and, if you’re writing code to handle one character at a time, then you probably shouldn’t expect it to do something smart when you input several characters at once, that seems a bit like you haven’t entirely decided what should happen there

My assumption was that as long as the player types anything except for the characters I have entered, he would get the “Invalid entry” line. Do I have to include code for all types of input? As in, explicitly prohibiting the player inputting integers, strings, etc.? Seems like it would be better to say “you can only enter this”, instead of “you can not enter this nor this nor this nor this nor this”.




 shampoomactavish:

I am not sure I understand. First, I don’t understand what you mean with “comparing” in this context.


You’re using a comparison operator !=, meaning “not equal to”. 

If you were told to write a function that accepts a char and a string, and returns whether the char can be found in that string, is that something you could do?
You would probably write a loop where you look at each char in the string, comparing it to the char to search for.
If you write such a function, you could then use that in your condition, and there would be no messing around with manually repeating code to compare the char to each of the other ones.
while (!isOneOf(choice1, ""aAbBcC"")) {
    ...
}





 shampoomactavish:

Do I have to include code for all types of input?





 shampoomactavish:

And if I type several characters, like “ax”, I get the “Invalid input” line an equal number of times, repeatedly.


That’s giving your program different input from what you seem to be trying to make it do.
If you program A and test B then yeah B probably won’t do what you want, maybe you should test A instead, or also implement B.




 shampoomactavish:

choice1 != 'A', 'a', 'B'


There’s nothing there saying that choice1 should be compared to 'a', for that to happen you would need to use some comparison operator and pass it the two values you want to compare.
Code is instructions, so if you want something to happen, you’ve got to write instructions that makes it so.


If you were told to write a function that accepts a char and a string, and returns whether the char can be found in that string, is that something you could do?
You would probably write a loop where you look at each char in the string, comparing it to the char to search for.
If you write such a function, you could then use that in your condition, and there would be no messing around with manually repeating code to compare the char to each of the other ones.

I see. I think I could write something that checked whether there is an “a” if the user typed something like “large”, for instance, but I don’t know how I would account for the user typing something like “Aab” or “ball”, in which case they would be typing several letters that count as valid choices. How can I restrict the player from typing several things in the ‘stdcin >> choice1;’ ? Ideally, they should only be able to type one character. I don’t believe the course has covered that, however.
Thank you for your help thus far.

You can’t physically prevent a user from giving that input, that’s probably not what you mean should happen. Instead you would need to decide how your program should react to that happening.

Presumably you’d want to do this:
https://asciinema.org/a/zu6gH3SE0sYUDvbTeJw9aIj22
But you can’t really talk about how to write that as code yet, because you haven’t yet decided what should happen.
When you firmly decide what should happen, you are giving yourself a reference, something that you can compare to what you currently have, which in turn tells you what needs to change. You give yourself the ability to identify problems, and it is only when you’ve done that that you can begin to solve them.


You can’t physically prevent a user from giving that input, that’s probably not what you mean should happen. Instead you would need to decide how your program should react to that happening.

Obviously I can’t prevent the user from pressing several keys on their keyboard, but surely it’s possible to limit the amount of characters they can enter in a field? For instance, if I try paying a bill on my online banking service and I have to enter my social security number, I can’t enter more than 11 numbers. If I try, nothing will show up.
This is a bit beside the point, however, since this is not something that is being learnt in this course (at least not thus far).

It’s not the input that changes. It’s what you do with the input that changes.
So what should your program do?
You can’t say that the input isn’t there. It is. How should your program react to it?
Why would you “not be able” to enter further input? What would the program need to be doing when it receives that input?
What is your program doing when you seemingly can enter input?
What happens when you press a key? What happens currently, and what do you want to happen instead?
There’s no prevention. There are things happening. What are those?

There are some parts to this that you do not know and are not able to figure out entirely on your own. But by observing what you can see and combining that with what you do know, you can say a LOT about what needs to be different.



 shampoomactavish:

surely it’s possible to limit the amount of characters they can enter in a field?


Who controls that field? Do they still receive keystrokes? What do they do when they receive those keystrokes? What do they do when it seems like something can be entered, what do they do when it seems like something can’t be entered, what’s the controller of that field doing differently?

So, let’s say you run your program.
You press K on your keyboard.
k shows up. SOMETHING printed k. What?
Is your program able to see that k?
If not, then who printed k?
When can your program see k?

I’m not entirely sure I’m following you. However, I did make some changes to my code, following the logic I had used from the beginning. I then got it to work as I wanted, although only in the terminal on Codecademy; when I compile and execute on my own computer, the program crashes after I make a “right” choice. So I’m not sure what that’s all about, but the code now demonstrably works the way I want it to. I’m sure there is a more elegant way of doing it, and I will try to look closer at what you’ve written to try and figure it out, but I thought I should share that I got it to work decently for now.

#include <iostream>

int main () {

  
  std::cout << ""\nLorem ipsum\n\n"";

  std::string choice1;

  std::cout << ""Make a choice: A, B or C?"";  
  std::cin >> choice1;
  
  while (choice1 != ""A"" and choice1 != ""a"" and choice1 != ""B"" and choice1 != ""b"" and choice1 != ""C"" and choice1 != ""c"") {
    
    std::cout << ""Invalid entry. Try again!"";    
    std::cin >> choice1;
    
  }
  
    
  if (choice1 == ""A"" or choice1 == ""a"") {
    
    std::cout << ""\nYou chose A.\n\n"";
    
  }
  
  else if (choice1 == ""B"" or choice1 == ""b"") {
    
    std::cout << ""\nYou chose B.\n\n"";
    
  }
  
  else if (choice1 == ""C"" or choice1 == ""c"") {
    
    std::cout << ""\nYou chose C.\n\n"";
    
  }


}



By what measurement does it crash? What does that look like? What input did you use? If your run it in a debugger (for example gdb, and make sure to compile with debug info (-g) and without optimisations (no -O2)), the debugger should be able to tell you what line the crash happened at.
But maybe when you say crash you really mean that the program exited. This would again be a comparison of expectations and observations - did you expect it to do something else, and how exactly is that different.
Your terminal doesn’t send input to your program until you press enter. You’d notice this because, even if you only read one character, it still never reaches the program until enter is pressed. You also have the ability to use backspace, arrow keys and a bunch of other things, none of which your own code is providing. After the realization that your terminal does this, you can then consider, can the terminal be asked to behave differently? It can.

By crash, I mean that the program exits and then restarts shortly after. What I expect to happen is for the program to print “You chose A.”, for instance (given that I entered “A” or “a” in the program), but instead the program exits and restarts. Again, this issue does not arise when I use the terminal to compile and execute here on Codeacademy; then I get the printed text as expected.
I had not heard of gdb, I will definitely check that out.

Maybe it printed “You chose A” and then exited, would you be able to tell the difference?
Because it sounds to me like you’re saying that a window closes. It would do that when the program finishes, wouldn’t it?
Pretty sure it isn’t restarting itself. You didn’t write code that says to do that, did you?

It seems my overeager antivirus software was to blame for the restarting issue. After I turned it off, the program stopped restarting itself. Then after I did that and added some more code, it went on to that code, so it seems the problem was indeed that it printed “You chose A” and then exited, as you suggested. Thus it seems that I am currently able to continue writing my program the way I had planned. For now, at least.
Thanks a lot for your help.

Its good if use a ide as you are a beginner
"
8,Whale talk - no instance of constructor,"Get Help,Git",general,3,"
https://www.codecademy.com/courses/learn-c-plus-plus/projects/cpp-whale-talk
 #include <iostream>

#include <vector>

#include <string>

using std::string;

using std::cout;

using std::vector;

int main() {

  string input =""turpentine and turtles"";

  vector<char> vowels = {""a"", ""e"", ""i"", ""o"", ""u""};

  vector<char> whale_talk;

  for(int i=0; i < input.size(); i++){

    for(int j =0; j < vowels.size(); j++){

      if(input[i]==vowels[j]){

        whale_talk.push_back(input[i]);

      }

      

    }

  }

  for (int k = 0; k < whale_talk.size(); k++) {

        cout << whale_talk[k];

}

cout << ""\n"";

}

line 12
vector<char> vowels = {""a"", ""e"", ""i"", ""o"", ""u""};

I get error:
no instance of constructor “std::vector<_Tp, _Alloc>::vector [with _Tp=char, _Alloc=std::allocator]” matches the argument list – argument types are: (const char [2], const char [2], const char [2], const char [2], const char [2])
Tried looking up resolutions online but was not able to find anything. Please let me know what I’m doing wrong.
Thank you
","



 munroeka:

vector<char> vowels = {""a"", ""e"", ""i"", ""o"", ""u""};


How do we refer to chars in c++?
– Single quotes. Not double quotes.
Your code should run after this.
Welcome to the forums  

Yes running the code with single quotes instead of double quotes can solve the error
"
9,"Why need to write \n and "" in same line?","Get Help,Git",general,5,"
I am getting an error message when I type this code
#include 
int main()
{
std::cout << ""Hello\n
"";
std::cout << “Goodbye\n”;
}
Error :
typeoperator<<(basic_ostream<_CharT, _Traits>& __os,
^~~~~~~~
/usr/include/c++/7/bits/basic_string.h:6284:5: note:   template argument deduction/substitution failed:
pattern.cpp:8:8: note:   ‘std::ostream {aka std::basic_ostream}’ is not derived from ‘const std::__cxx11::basic_string<_CharT, _Traits, _Alloc>’
std::cout << “Goodbye\n”;
^~~~
Can someone tell what is the mistake in the code.
","
Formatting counts.
int main()
{
    std::cout << ""Hello\n"";
    std::cout << ""Goodbye\n"";
}


This will run perfectly. Some languages are very open to brute formatting, others not so. At least it makes for cleaner more readable code, and will help when you need to transition to other languages. For future reference you can format your text here too by clicking </> before pasting the code. It helps to troubleshoot errors better.

His main code works perfectly, but to know the real problem, you must study the error well. The error says that there is a problem with the ostream, which is the c++ standard library. Because you did not include the library properly, all your code becomes void. However, there is an easy fix. Just add the ostream library to your file like this:
#include <iostream>

Put this on the beginning of your code and it will work perfectly. I also recommend specifying the name space of your code so you don’t have to be typing  std:: all the time.
Here is your code but in a perfected format:
#include <iostream>
using namespace std;
int main() {
  cout << ""Hello\n"";
  cout << ""Goodbye\n"";
  
  return 0;
}

Hope this helped!

Sure, but this was what I was referring to.




Sublime also throws an error
Screen Shot 2020-07-21 at 9.41.29 AM1333×665 59.5 KB

Yeah, you are right. But I still feel that the main problem in his code was the library, as I read through the error thoroughly, and I am an experienced C/C++ debugger. I have dealt with these kind of errors many times in the past so I knew what it was immediately I saw it.
"
