,Title,Categories,Tags,Replies,Post,Comment
0,About the Java FAQ category,"Get Help,Git",,1,"
Java has been one of the world’s most popular programming languages for over twenty years, favored in particular by large businesses for its reliability, compatibility, and performance at scale. This forum category covers the Codecademy courses on Java.
",
1,FAQ: Learn Java: Methods - Review,"Get Help,Git",,58,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Review” exercise from the lesson “Learn Java: Methods”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Review


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
In step one of this activity, where it asks you to make a checkBalance function, it throws an error that says, “Oops! The test returned an error. Maybe you have a syntax error, or a typo. See full error.” When I click “See full error” it says, “Cannot read property “0” of undefined.” What does this mean? What do I have to do to fix the error?

Why on method deposit is VOID and on method withdraw is INT
  public **void** deposit(int amountToDeposit){
    balance = amountToDeposit + balance;
    System.out.println(""You just deposited "" + amountToDeposit);
  }
  
  public **int** withdraw(int amountToWithdraw){
    balance = balance - amountToWithdraw;
    System.out.println(""You just withdrew "" + amountToWithdraw);
    return amountToWithdraw;

The deposit method is not returning any value, which means the return on the method is VOID.
On the other hand, the withdraw method will return amountToWithdraw, an int, so the return on the method is an INT.

The program is telling me that I completed all the steps, but I am seeing errors in the return instead of my printed messages.  For every method that I call from the main method, I get an error like the below:
SavingsAccount.java:31: error: non-static method checkBalance() cannot be referenced from a static context
**    SavingsAccount.checkBalance();**
Here is my main method:
**  public static void main(String args){
SavingsAccount savings = new SavingsAccount(2000);
SavingsAccount.checkBalance();

SavingsAccount.withdraw(300);

SavingsAccount.checkBalance();

}       **
Am I writing something incorrectly?

Late response but this is because you are calling SavingsAccount rather than savings. The new savings account created in the main method is called savings so when checking the balance and whatnot you will want to call savings.checkBalance();
Hope this helps!

Hey, so I am having trouble with step one of this project.  I  keep getting a dozen errors  after I  put  my code in,
/*********************/
   public void checkBalance(){
    System.out.println(""Hello!"");
    System.out.println(""Your balance is "");
    }
    /*********************/

I noticed in the hint that the method title was blue. I dont recall CC teaching how to do that unless you were starting off the code. But does that have something to do with it?
Edit: Never mind i found the issue i didnt follow the instructions

So I was playing around a bit on the “Review” section and I tried to add a toString() method. However, the program produces the following error:
SavingsAccount.java:26: error: unreachable statement
return ""You are now viewing your savings account. Your balance is "" + balance;
^
1 error
Here is my program. What am I doing wrong and how can I fix it?
/*********************/
public class SavingsAccount {
int balance;
public SavingsAccount(int initialBalance){
balance = initialBalance;
}
public void checkBalance(){
System.out.println(“Hello!”);
System.out.println(""Your balance is ""+ balance);
}
public void deposit(int amountToDeposit){
balance = balance + amountToDeposit;
System.out.println(""You just deposited "" + amountToDeposit);
}
public void withdraw(int amountToWithdraw){
balance = balance - amountToWithdraw;
System.out.println(""You just withdrew "" + amountToWithdraw);
}
public String toString(){
return “Accessing savings account…”;
return ""You are now viewing your savings account. Your balance is "" + balance;
}
public static void main(String args){
SavingsAccount savings = new SavingsAccount(2000);
//Check balance:
savings.checkBalance();

//Withdrawing:
savings.withdraw(300);

//Check balance:
savings.checkBalance();

//Deposit:
savings.deposit(600);

//Check balance:
savings.checkBalance();

//Deposit:
savings.deposit(600);

//Check balance:
savings.checkBalance();

System.out.println(savings);

}
}
/*********************/

After some experimentation it seems to me that the issue is that you’re providing the information you want in the string, instead of a reference to a string object. I got an error when I tried to use two return commands, I’m guessing that after running the first return command, it returns to the main and the objects in the constructor method are no longer accessible, hence you can only have one return command.
Here’s how I made it work. You’ll notice that the \r creates a linebreak, so we don’t need two separate strings.
public String toString(){
String message = ""Accessing Savings Account \rYou are now viewing your savings account. Your balance is "" + balance;
return message;
}

What was it through ??

Hello everyone maybe i cant read directions or something, but i am really so confused on what to do on the first step each time i think i have it right there is always some sort of error! please help );

Hello, @hype1804869827. Welcome to the forum! Which exercise are you on specifically? If you can post a link to it, I’ll try to be of some assistance.

hello @midlindner i really appreciate you taking your time to help me ! I’m having trouble with step one of this project ! Simply just stuck maybe i cant understand the directions or something.

This instruction?

In between the constructor and the main() method, add a method called advertise() to the Store class. It should be accessible by other classes, and should have no output.
You can leave the body of the method empty.


I’m sorry, i’m not being clear enough it’s the 9th project aka the "" Learn Java: Methods - Review "" where we are building our own savings account, but the very first step on this one.
Dont know why i keep getting this error i know it has to do with maybe a missing “(” or “{” but not sure if maybe im overseeing something.
/SavingsAccount.java:31: error: illegal start of expression
public void checkBalance() {
^

Ah. Okay. Got it. First, when you post code, it will help me if you click the </> button first, and then paste your code in the space provided. That way I can see how everything is formatted, and even copy and paste it, to run it myself, and help locate errors. Where did you locate the function declaration, and do you have a closing }? The empty function should look like this:
public void checkBalance() {

}

From the error, it appears you may have placed the method inside of the main() method. It needs to be outside the method.

You wont believe it, but i just figured it out haha im so sorry, but i honestly really do i appreciate you taking your time to help me out also will do for next time, rookie mistakes );

No worries. Glad you figured it out! 

And what that this mean? For me the two statement are the same. Plese be more specific.




 victorsutton:

unreachable statement


It’s because of the two return statements in your toString() method.
As the error message said the second return statement is “unreachable” because the first return already exits the method. When you delete or commenting-out one of the lines with a return statement the program will work.
"
2,FAQ: Hello World: Java - Introduction to Java,"Get Help,Git",hello-world,4,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Introduction to Java” exercise from the lesson “Hello World: Java”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Introduction to Java


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Hey! how do I check the java version that is being used in this tutorial ?

Hello, @object3757487760.
In a lesson where you can type in the console, you can execute java --version.

image.png709×218 5.07 KB


use big brain
               
"
3,FAQ: Java: Introduction to Classes - Classes: Multiple Fields,"Get Help,Git",,7,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Classes: Multiple Fields” exercise from the lesson “Java: Introduction to Classes”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Classes: Multiple Fields


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Why do we need to declare two different variables, first outside the class and then inside the class, and then equate them in the class, to represent the same data?
Why not declare them at once directly in the class parameter declaration?
Refer to this example : 

The thing is, you can do whatever you want in a constructor, just like so far we did whatever we wanted in the main() method. Remember when in the constructor, we did a System.out.println(“something”)?
So far, all the examples we’ve used, we made the constructor so that it takes as many parameters as the class has fields, and it puts these parameters in these fields.
It sounds rather logical, and it’s actually common. But that is not at all an obligation.
For example, you might not want to have to set all the fields at once when you create a new object. Maybe you’ll set them later, not with the constructor. Or maybe the constructor will just give them a value by itself without taking a parameter, like, the constructor says that the price is 2.00, and it doesn’t take a price parameter.
You can do pretty much what you want. Giving a value of all the fields of the class, will not always be what you want to do. Therefore, the language must not assume that it is what you want to do. Therefore, if it is what you want to do, you must write it out entirely.

The first declarations are defining the characteristics of the Car class. A Car has a color, is running or not, and has a velocity. Even though Car is defined, there is no Car object created yet.
The constructor is called when an instance of the Car class is created. The constructor definition takes the parameters passed to it and assigns them to the variables in this particular Car object. You can create multiple Car objects, each with different colors, isRunning values, and velocities like this:
Car blueCar = new Car(“Blue”, true, 34.5);
Car redCar = new Car(“Red”, true, 90.0);
Car junkCar = new Car(“Rust”, false, 0.0);

Hello. This question is in regards to Classes Multiple fields.
I completed the task and I got stuck. I selected to reveal the solution which to my surprise seemed exactly the same as my input. I then redid it and screenshotted to compare. And I can still not see any difference. What am I missing?




[Album] Imgur










[Album] Imgur






Hi. I think you need to capitalize the S on Shop.

Why don’t we use the constructor parameters name same as the variable field names?? I think it would be a lot more readable and understandable rather than using different names for the same thing.
"
4,FAQ: Java: Introduction to Classes - Classes: Constructors,"Get Help,Git",,24,"

This community-built FAQ covers the “Classes: Constructors” exercise from the lesson “Java: Introduction to Classes”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Classes: Constructors


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
In exercise 3/8, why does it display Store@6bc7c054
in the console after running the code?

Hi betarockstar, did u get the answer on your question?

I going to assume he did but, why does that show up?

Please explain the difference between Constructors and Methods

Hi betarockstar69942 - Store refers to the name of the class and @6b7c045 refers to the memory.

Can anyone tell me what instances mean? In a simplified way

Object  − Objects have states and behaviors. Example: A dog has states - color, name, breed as well as behaviors – wagging the tail, barking, eating. An object is an instance of a class.
https://www.tutorialspoint.com/java/java_object_classes.htm
Kinda roundabout but this helped me get a better Idea of what it is

Hello everyone, I can’t understand why the string with the name of the class and the corresponding memory is printed.
This action is not specified in the program and also in the lesson…
Lastly is possible have the same result without this line?
Thank you!

What is the use of ‘new’ in this program?

I’m don’t quite understand why “I am inside the constructor method.” was printed out.
I believe I only created a new instance and did not ask anything to be printed out in Main.

When you create a ‘new’ instance of a class, the code inside the constructor method is executed. The constructor for the ‘Store’ class only has one line of code. That line prints the message you referred to. The exercise was only illustrating how the control flow is passed around inside a class. The next exercise will cover how constructor methods are typically used to create an instance of a class.

Thanks for the reply! It’s starting to click.

Hi!
Is there a table / map / comparison available to understand the following words and differentiate between them?

class
constructor
instance
method
object
type
variable

Thank you for the help!

I don’t understand any of this lesson, can someone please try to explain it to me? I don’t really get what classes or instances are, and the constructor method is really confusing me.

Can someone explain what is Method and Constructor? What is the difference between them?

@coolgirl123
@aydanshirin
Hey guys, I’m very new to this so I may be wrong but my understanding of classes and instances, methods and constructors is this;
Class: Think of the class as a box. Within a program your coding you might have 10 boxes. Each box is used to define and do different things within the program. (For example, if your writing a program for a university you might have a class for students, a class for teachers, a class for courses, a class for alumni, etc.) So a class is really a set of data and instructions within your code that relates to one thing. (Students, teachers, etc)
Instance: So if we have a class for students we’ll need to store data in this class about each student at the university. Lets say the data we have for each student consists of their name, age and exam results. Within the CLASS we’ll need to our data as variables. (string for name, int for age and double for exam results) Within the METHOD we then create instances. Think of the instance as each individual student at the university. The variables are student name , age and exam results whilst the instance is the individual student. (i. .eTom Smith, 21, 71.23) If you had 100 students at the university you’d have 3 variables (student name, age, exam results) and 100 instances. (1 for each student)
Method & Constructor: Think of the method the same way as you would a cooking recipe. The method tells you what to do with the ingredients. The ingredients are our instances. Now when we read a recipe we as humans know what the ingredients are and what the amounts mean. (e.g. 2 eggs, 300g flour, 200ml milk - we know what all of these things are so all we need are the different ingredients and we can follow the method to make our meal) Computers don’t know what the ingredients (instances) are! So even if we enter our different instances (i.e. data) into our code and give perfect instructions of what to do with the instances it won’t know what egg, flour or milk means. This is why we have a constructor. The constructor is created within the class to tell the program what an egg is, what milk is, etc.
In the previous example of the university within our class of students we have 3 variables (student name, age, exam results) and 100 instances (one for each student) Just like the cooking recipe the program doesn’t know what a student name, age or exam result is. So we make a constructor to tell the program the data type for each variable. (Student name is a string, age is an integer and exam result is a double) Now that we’ve defined each variable’s data type in the constructor, when the program takes each instance (individual student) we enter into the code and applies the set of instructions we’ve outlined in the method, it knows what the data actually means! (because of our constructor)
Hope that helps! Probably made more questions than gave answers but hopefully there’s something in there that makes sense. Also please if any of the above is incorrect (which is very well may be) please feel free to point out where I’m wrong. I’m amateur and learning!

how does the line Store lemonade = new Store() work ? Like what happens during the execution of this line and how does the print statement in the constructor gets printed using this code?

Can anyone please explain why we are getting the below
Store@2aae9190
Store@2f333739
Store@77468bd9
Store@12bb4df8
I run the code below in main. Someone said that is showing memory, but what memory are we referring to?. Thanks for your help.
Store lemonadeStand = new Store();

Store fruit = new Store();

Store banana = new Store();

Store orange = new Store();

System.out.println(lemonadeStand);

System.out.println(fruit);

System.out.println(banana);

System.out.println(orange);

new represents a keyword that is used to tell the program that a new instance is created
"
5,FAQ: Learn Java: Loops - Incrementing While Loops,"Get Help,Git",,3,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Incrementing While Loops” exercise from the lesson “Learn Java: Loops”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Incrementing While Loops


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Third exercise says that The  1  in this statement should correspond with the current value of  cupsOfCoffee . When  cupsOfCoffee  is  100 , this should be printed: “Fry drinks cup of coffee #100”.
I was trying:
while (cupsOfCoffee <= 100){
System.out.println(“Fry drinks cup of coffee #1”);
cupsOfCoffee++;
}
Which was obviously printing only “Fry drinks cup of coffee #1” , 100 times.
So I changed to:
while (cupsOfCoffee <= 100){
  System.out.println(""Fry drinks cup of coffee "" + cupsOfCoffee);

  cupsOfCoffee++; 

}
And this works! Increasing the fry drinks cup of coffee by 1 in every line. The exercise still says something is wrong??? I cant press next even though my code is right. Help?

Oh I found the problem, I was missing the #
System.out.println(“Fry drinks cup of coffee #” + cupsOfCoffee);
I feel dumb now.
"
6,FAQ: Learn Java: Variables - doubles,"Get Help,Git",variable-data-type,7,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “doubles” exercise from the lesson “Learn Java: Variables”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise doubles


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Is the ‘double’ datatype in java similar to the ‘float’ datatype in python?

Why do I need int? Can I just store everything in double?

I’m not an expert in Java but I’m learning.  However, I think as with most things in Java, there are multiple ways to get the same answer, it just seems cleaner to write int a = 1; rather double a = 1;
However, I’m sure there is a specific reason why you would have to use an int over a double at some point.  I believe double cannot be negative either.
Hope that helps.

I’ve just read that using “double” takes up more memory than using “int”.  Memory isn’t important me at this early stage but maybe later on it becomes relevant.

I’m totally lost. What do the instructions asking me to do? this is what I wrote but I know it’s wrong. Please help this is so frustrating to not be able to learn such a simple language that everyone else knows
public class MarketShare {
public static void main(String args) {
// doubles can have decimal places:
androidShare = 81.7;
//doubles can have values bigger than what an int could hold:
double gdp = 1237700000;

System.out.println(""androidShare"");
}

}
I don’t know why all that looks weird above. I just looked a the solution and it doesn’t even make sense. what are the directions even asking me to do?
public class MarketShare {
public static void main(String args) {
// doubles can have decimal places:
androidShare = 81.7;
//doubles can have values bigger than what an int could hold:
double gdp = 1237700000;

System.out.println(""androidShare"");
}

}

Greetings! Take the quotations from around ‘androidShare’ in the println and see if that works 
"
7,FAQ: Learn Java: Arrays - Get Element By Index,"Get Help,Git",,8,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Get Element By Index” exercise from the lesson “Learn Java: Arrays”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Get Element By Index


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
I dont understand this at all.  How does views[topicIndex] reference an actual index? Where is it getting the index number from?
public void viewTopic(int topicIndex){
views[topicIndex] = views[topicIndex] + 1;

heya sirfency! from what i realised by comparing the viewTopic method to getTopTopic, it pretty much takes the view array at the start of the class, selects an index according to what you put in the parameters when you call the method, ands adds +1 to it and stores it in the array. hope this helped!

import java.util.Arrays;

public class Newsfeed {
  
  String[] topics = {""Opinion"", ""Tech"", ""Science"", ""Health""};
  int[] views = {0, 0, 0, 0};
  
  // constructor class
  public Newsfeed(){

  }
    
  public String[] getTopics(){
    return topics;
  }
  
  public String getTopTopic(){
    String indexZero = topics[0];
    return indexZero;
  }
  
  public void viewTopic(int topicIndex){
    views[topicIndex] = views[topicIndex]+1;
     
  }

  public static void main(String[] args){
    Newsfeed sampleFeed = new Newsfeed();
    
    System.out.println(""The top topic is ""+ sampleFeed.getTopTopic());
    
    sampleFeed.viewTopic(1);
    sampleFeed.viewTopic(1);
    sampleFeed.viewTopic(3);
    sampleFeed.viewTopic(2);
    sampleFeed.viewTopic(2);
    sampleFeed.viewTopic(1);
    
    System.out.println(""The "" + sampleFeed.topics[1] + "" topic has been viewed "" + sampleFeed.views[1] + "" times!""); 
  }
}


With an output of:
The top topic is Opinion
The Tech topic has been viewed 3 times!

Because we called the method
sampleFeed.viewTopic(1);

on three separate lines in the main() method of our class. Every time we call it, it will add 1 view to the total views for the topic “tech”… so if we call it three times it means there are three views of that topic. The value "" 1 "" inside the parenthesis does not mean "" add 1 view ""… the value "" 1 "" is referring to the specific location/part of the array that we are trying to manipulate. We are manipulating the # of views at the first index of the array we created/instantiated/initialized in the main(). The value at the first index starts at zero, and the String at the first index (the subject of the news which is "" Tech "") is what the value "" 1 "" is referring to when we put it inside the parenthesis. The program will work with that index in order to keep track of everything and so that it matches up correctly.

String topics = {“Opinion”, “Tech”, “Science”, “Health”};
int views = {0, 0, 0, 0};
Confused as to how the above arrays are automatically fields in the sampleFeed instance.
Explain please.

I believe the next subject 5/8 will answer that for you.

When you get to the next exercise 5/8 I believe it will answer that for you.

Thank you so much this was really helpful this makes perfect sense.
"
8,FAQ: Java: Introduction to Classes - Classes: Instance Fields,"Get Help,Git",,4,"

This community-built FAQ covers the “Classes: Instance Fields” exercise from the lesson “Java: Introduction to Classes”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Classes: Instance Fields


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
How do we “Add some state to our store class”?

its mention in the next line:
Declare a String instance field for productType
the code also provides where you need to set the instance field:
// declare instance fields here!

and you have an example you can follow:
public class Car {
  /*
  declare fields inside the class
  by specifying the type and name
  */
  String color;

  public Car() {
    /* 
    instance fields available in
    scope of constructor method
    */
  }

  public static void main(String[] args) {
    // body of main method
  }
}


How do we avoid printing the memory location and constructor method name?
"
9,FAQ: Learn Java: Methods - Introduction,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Introduction” exercise from the lesson “Learn Java: Methods”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn Java
FAQs on the exercise Introduction


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
