,Title,Categories,Tags,Replies,Post,Comment
0,About the R FAQ category,"Get Help,Git",,1,"
The R language is widely used among statisticians and data miners for developing statistical software and data analysis. This forum category covers the content of Codecademy’s R courses.
",
1,FAQ: Mode in R - Mode with DescTools,"Get Help,Git",,10,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Mode with DescTools” exercise from the lesson “Mode in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Mode with DescTools


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
What am I doing wrong?
Neither Mode() nor the solution in hints, stats.mode(), is working.
I found a solution on ProgrammingR
getMode <- function(x) {
keys <- na.omit(unique(x))
keys[which.max(tabulate(match(x, keys)))]
}

that is working quite well, but I assume that this is not the solution meant by the tutorial…
Can anybody help?

Jup, I had the same issue… and after clicking view solution it just gave me the same Mode() solution I used before…
At now I can continue with the course.

Same issue. I have made a Bug Report.

Same issue here! Reporting as well.
And @maiabali, thanks for the help!

Same issue as well! I just reported it!

The lesson part introduces the function Mode() from the DescTools library. It produces a result, but is not accepted. The hint suggests the untaught function stats.mode(). Using it produces an error, function not found. The solution, as other people have said, is identical to the not accepted at first use of Mode().

Had the same problem! Couldn’t find a difference so I copied the given solution, reset the question, and replaced the given code with the solution code, and it didn’t work! Felt like I was going crazy for a while

Same issue here. Exercice seems to be broken. Reporting it !

This issue is still present. A shame. Reporting.
A hint to anyone affected: just press “View the Solution” and move forward.
"
2,FAQ: Data Cleaning in R - Dealing with Multiple Files,"Get Help,Git",,6,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Dealing with Multiple Files” exercise from the lesson “Data Cleaning in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Dealing with Multiple Files


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
","
Hi everyone,
I have a short question about the pattern parameter in the list.files() function.
In this lesson, to assing the list of files, one needs to type
student_files <- list.files(pattern = 'exams_.*csv')

Usually, I would assume that * would be the wildcard symbol, so that
student_files <- list.files(pattern = 'exams_*.csv')

would make more sense to me. Googling about wildcard characters for the pattern parameter in list.files() didn’t quite help me.
So why is it that the upper line of code works with the files exams_0.csv, exams_1.csv, …, exams_9.csv, while the line of code which makes more sense to me doesn’t?
Thanks,
Fready




 chip8582749942:

list.files


I asked myself the exact same question and did not find an answer either.

I found it out by myself by now.
The string for the pattern parameter is a so called regular expression (regex).
A regex can contain stuff like ‘\d’, which would stand for any digit from 0-9.
The dot . is indeed the wildcard symbol, and an asterisk followed by either a character or an expression means that this expression can be repeated arbitrarily many times, even 0 times.
For an actual dot, one has to put a backslash before the dot.
For example, the regex pattern ‘a(ha)*’ would match the string ‘aha’, but also the strings ‘ahahahahahaha’ and ‘a’.
The pattern ‘exams_.*csv’ thus means: Find any filename that contains the substrings ‘exams_’ and, somewhere after that, ‘csv’.
The string ‘yo_mama_so_stupid_she_failed_all_exams_twice_42_csv’ would match the pattern as well, and it doesn’t even contain a dot.
Instead of *, one can also use +, which would mean an arbitrary number of repetitions, but at least one occurence. Thus the pattern ‘a(ha)+’ would not match ‘a’ anymore, but still ‘aha’ and ‘ahahahahahaha’.
As I mentioned before, \d inside a pattern string stands for any digit, so
student_files <- list.files(pattern = 'exams_\d+\.csv')

This means: Find any filenames that contain the substring ‘exams_’, directly followed by one or more digits (given through \d+), directly followed by the substring ‘.csv’ (remember the backslash before the dot). However, the filename ‘bexams_000.csvvv’ will most likely also match this pattern, since regular expressions need extra specifications to require that a string begins or ends with a certain expression.
I refer to the following links:
https://www.regular-expressions.info/
https://automatetheboringstuff.com/chapter7/
I’ve read the latter one today, this is why I know about this now, and could give myself an answer. It’s a bit annoying that no one else answered us in (more than) a week…
Cheers!

I am almost wondering if this is a typo on CodeAcademy. Because if you look on say, StackOverflow, it appears the * wildcard functions like it does in other languages where it expects characters to be in that position.
Wish @codeacademy would offer clarity.

Thanks for this helpful reply, I wondered the same thing myself.
"
3,FAQ: Modifying Data Frames in R - Introduction,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Introduction” exercise from the lesson “Modifying Data Frames in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Introduction


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
4,FAQ: Introduction to Data Frames in R - What is a Data Frame?,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “What is a Data Frame?” exercise from the lesson “Introduction to Data Frames in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise What is a Data Frame?


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
5,FAQ: Introduction to Data Frames in R - Introduction,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Introduction” exercise from the lesson “Introduction to Data Frames in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Introduction


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
6,FAQ: Data Cleaning in R - Introduction,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Introduction” exercise from the lesson “Data Cleaning in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Introduction


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
7,FAQ: Data Cleaning in R - String Parsing,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “String Parsing” exercise from the lesson “Data Cleaning in R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise String Parsing


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
8,FAQ: Hypothesis Testing with R - Two Sample T-Test,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Two Sample T-Test” exercise from the lesson “Hypothesis Testing with R”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Two Sample T-Test


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
You can also find further discussion and get answers to your questions over in #get-help.
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head to #get-help and #community:tips-and-resources. If you are wanting feedback or inspiration for a project, check out #project.
Looking for motivation to keep learning? Join our wider discussions in #community
Learn more about how to use this guide.
Found a bug? Report it online, or post in #community:Codecademy-Bug-Reporting
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
9,FAQ: Introduction to R Syntax - Comments,"Get Help,Git",,1,"

Community FAQs on Codecademy Exercises.jpeg1000×208 141 KB

This community-built FAQ covers the “Comments” exercise from the lesson “Introduction to R Syntax”.
Paths and Courses
This exercise can be found in the following Codecademy content:
Learn R
FAQs on the exercise Comments


There are currently no frequently asked questions associated with this exercise – that’s where you come in!  You can contribute to this section by offering your own questions, answers, or clarifications on this exercise.  Ask or answer a question by clicking reply () below.
If you’ve had an “aha” moment about the concepts, formatting, syntax, or anything else with this exercise, consider sharing those insights!  Teaching others and answering their questions is one of the best ways to learn and stay sharp.

Join the Discussion. Help a fellow learner on their journey.
Ask or answer a question about this exercise by clicking reply () below!
Agree with a comment or answer? Like () to up-vote the contribution!
Need broader help or resources?  Head here.
Looking for motivation to keep learning? Join our wider discussions.
Learn more about how to use this guide.
Found a bug? Report it!
Have a question about your account or billing? Reach out to our customer support team!
None of the above?  Find out where to ask other questions here!
",
