,Title,Categories,Tags,Replies,Post,Comment
0,About the SQL FAQ category,"Get Help,Git",,1,"
SQL (Structured Query Language) is the standard data-management language, enabling you to communicate with databases. This forum category covers the Codecademy courses on SQL.
",
1,Can a WHERE clause be applied with a HAVING statement in the same query?,"Get Help,Git",,4,"
Question
Can a WHERE clause be applied with a HAVING statement in the same query?
Answer
Yes, you can absolutely apply a WHERE clause in a query that also utilizes a HAVING statement.
When you apply a WHERE clause in the same query, it must always be before any GROUP BY, which in turn must be before any HAVING.
As a result, the data is essentially filtered on the WHERE condition first. Then, from this filtered data, it is grouped by specified columns and then further filtered based on the HAVING condition.
Example
/* 
This will first filter the movies with a box_office > 500000.
Then, it will group those results by genre, and finally restrict
the query to genres that have more than 5 movies.
*/

SELECT genre, ROUND(AVG(score))
FROM movies
WHERE box_office > 500000 
GROUP BY genre
HAVING COUNT(*) > 5;

","
This information really helps! 

This helped a lot  Thanks

@jephos249 Thanks a lot … 
"
2,When should I use INNER JOIN instead of LEFT JOIN?,"Get Help,Git",,16,"
Question
When should I use INNER JOIN vs LEFT JOIN?
Answer
Depending on how we want to select the combined data, it can determine whether to use an INNER JOIN or a LEFT JOIN.
Generally, we use INNER JOIN when we want to select only rows that match an ON condition. If no rows match the ON condition, then it will not return any results. This can be somewhat stricter than using a LEFT JOIN.
We use a LEFT JOIN when we want every row from the first table, regardless of whether there is a matching row from the second table. This is similar to saying,
“Return all the data from the first table no matter what. If there are any matches with the second table, provide that information as well, but if not, just fill the missing data with NULL values.”
In a way, LEFT JOIN is less strict than INNER JOIN. Furthermore, the results of a LEFT JOIN will actually include all results that an INNER JOIN would have provided for the same given condition.
","
For a real world example:
We created/maintain a database at my work for trading purposes. We maintain a fund master list and each day receive a file with fund level cash flows. We have our queries set up to do a LEFT JOIN, joining all records of the fund master list to the cash flow file regardless of whether there is a match. The end result is we can view a report with all funds and their daily cash flow, and the ones that don’t have cash flow today will still show up but with a null value. This is helpful to know as too many portfolios with null values can be indicative of problems with the cash flow file.

This is more of an observation, in this exercise the second value in C3 is also deleted in the graphic. I’m guessing that is a bug? If not, what am I missing in this exercise?

I think the idea behind this is that the row is occupied by the “left” table data,  which has no match in the other table, giving null values as result

If you are familiar with set theory (Mathematics) Then, INNER JOIN is more like (A intersection B)
and Left Join is {A union (A intersection B)}

This is more a limitation of the visualization used but not a bug. It supposes E in C2 doesn’t have a matching data in the left table and similarly that W doesn’t exist in the right table.
Because we are using a LEFT JOIN, the data on the left is kept in the table with no value in C3 while the data from the right table will not be displayed at all.

Just sharing an example from my work as well–we administer employee wellness programs and send program results through mail, combining program results and address information. If address info is NULL, we still want them in the query, so that we have their results. (We individually seal those without addresses and send the batch to HR to ensure delivery.) That’s a LEFT JOIN.
When I compile a list of emails for a program’s communication collateral for one client, I need to join tables with company associations and emails. We won’t be emailing NULL email addresses, so they can be omitted from results. JOIN works there.

thanks for real world example, sir

from my understanding, left join is like vlookup formula in excel, and inner join removes all the N/As.

Thanks for explaining with a real life example.

Thankyou for explaining with a Practical Life Example.

True, that’s like saying if we have two sets A and B, then:

LEFT JOIN is equivalent to A - B
RIGHT JOIN is equivalent to B - A
INNER JOIN is equivalent to A U B


What would the breakdown of this be then, because I have a hard time telling the difference
SELECT *
FROM newspaper
LEFT JOIN online
ON newspaper.id = online.id
WHERE online.id IS NULL;

When you LEFT JOIN online to newspaper, you are selecting those customers who have only a newspaper subscription and also those have both newspaper and online subscriptions, but not the online subscription alone. In the result, the WHERE clause you mentioned at the end selects only those results which have online.id as NULL, that means you will only see users who have subscribed to newspaper and not online. So, in the end, you get a result containing only those users who have subscribed to newspaper AND not subscribed to online.
This image may help you visualize joins as sets:





 zoleft:

e a list of emails for a program’s communication collateral for one client, I need to join tables with company associations and emails. We won’t be emailing NULL email addresses, so they can be omitted from results. JOIN works there.


Thank you for this answer, but one minor addition. INNER JOIN is more like A INTERSECTION B.




 dsonigladiator:

tomers who have only a


This is very good ! Thanks for this
"
3,What are some ways that SQL is used in data science?,"Get Help,Git",,2,"
Question
What are some ways that SQL is used in data science?
Answer
In the field of data science, there is a process, called the Data Science process, which provides a structured approach to performing experiments with data. In this data science process, some important steps include obtaining data, cleaning and organizing data, and exploring the data. Using tools like SQL, scientists are able to perform these important steps.
When obtaining data, scientists can use SQL to store them in tables and databases.
Once they have obtained the data, they can clean and organize the data utilizing built-in functions and clauses, to do things such as grouping them according to some qualities or conditions. They can also separate the data into different tables based on what kind of information they represent.
After these steps, they will be able to explore the data by utilizing many of the built-in SQL functions, which include functions such as AVG() which returns the average value of a column.
With its many built-in functions and ease-of-use, SQL is a very useful tool to have for data science.
","
Thanks you! I just begin with codecademy
"
4,"How do we search for patterns containing the actual characters ""%"" or ""_""?","Get Help,Git",,6,"
Question
When using SQL LIKE operators, how do we search for patterns containing the actual characters “%” or “_”?
Answer
When searching for a pattern containing the specific characters % or _, we can utilize the escape character \, similarly to its use in Python.
If we want to search for these specific characters, we can simply add the escape character immediately before them.
Example
/* 
In this pattern, we use an escape character before '%'.
This will only match ""%"" and not be used like the
wildcard character.

This query will match any titles that end with
' 100%'.
*/

SELECT *
FROM books
WHERE title LIKE '% 100\%';

","
It should be mentioned that the escape character is a backslash. As much as http protocol has reinforced “http, colon, forward-slash, forward-slash,” I still sometimes find myself forgetting which one is forward and which is back.
/ (forward)
\ (back)

Thank you. It’s quite useful

So, if its need to be found phrase “Anna\Hanna” the query needs to be:
SELECT *
FROM books
WHERE title LIKE 'Anna\\Hanna';

?

I would write something like
SELECT *
FROM books
WHERE tittle LIKE ‘%nna’

I think the question here was, if we need to search for a title with “” character in it, how to we do that?
"
5,How can we get the average of unique values of a column?,"Get Help,Git",,5,"
Question
In SQL, how can we get the average of only the unique values of a column?
Answer
To run the AVG() function on a column such that it only averages the unique values in the column, we could use the DISTINCT clause right before the column name.
Example
/* Returns 2.02365 */
SELECT AVG(price)
FROM fake_apps;

/* Returns 4.15833.. */
SELECT AVG(DISTINCT price)
FROM fake_apps;

","
Then, how does the data know what is the distinct value in Price Column? How do they differentiate unique value in that column and label it as a distinct value and then carry forward with the average caculation?

Hello yiwen. I’m not an expert but I hope I can help you.
when you run the following code:
SELECT price
FROM fake_apps;

the return is all the values in the column price. If you apply the AVG on it, you’ll have the total average. Nothing new here.
If you run the following code:
SELECT DISTINCT price
FROM fake_apps;

The return is all the distinct values on the column. Also, nothing new.
and so, the following:
SELECT AVG(DISTINCT price)
FROM fake_apps;

First the distinct will return the distinct ones and then the AVG is calculated based on that return. So the average is not calculated over the rows in price, but over the rows of the new table returned by the distinct.
Hope it helps

Hello, can I calculate the average in price column of distinct values in another column, like name ? Thanks in advance.

This will give you your solution for average in price column of distinct values in Category column:
SELECT Category, AVG(price)
FROM fake_apps
GROUP BY category;
"
6,Does the order of tables in a JOIN matter?,"Get Help,Git",,4,"
Question
When we write a JOIN query, does the order we specify the tables matter?
For example,
FROM table1 JOIN table2
vs
FROM table2 JOIN table1
Answer
Generally, no, the order of the tables in the JOIN will not affect the overall results of the query.
As long as you specify what columns to select, the results should appear essentially the same, just that the rows will be ordered according to the appearance in the first table.
However, if you do not specify specific columns, then the order of columns will be different depending on the order of the tables. Without specifying columns in your SELECT, by using just SELECT *, the result query will order the columns by the first table’s columns followed by the second table’s columns.
For example, say we had two tables:
orders, with the columns order_id, customer_id
and
customers, with the columns customer_id, address.
If we run the following query,
SELECT *
FROM orders
JOIN customers
ON orders.customer_id = customers.customer_id;

the columns in this query’s results will be ordered from left to right as:
order_id, customer_id, customer_id, address
Conversely, if we ran this query,
SELECT *
FROM customers
JOIN orders
ON orders.customer_id = customers.customer_id;

it will return the columns in the following order from left to right:
customer_id, address, order_id, customer_id
If the order of your columns matters in the result query, then it will be important to keep this in mind.
","
Hi, I got a little bit confused in the exercise that comes right after - PRIMARY KEY VS FOREIGN KEY. I am supposed to perform the INNER JOIN in this task. But in this case, it seems like the order actually matters.
If I write the query this way:
SELECT *
FROM students
JOIN classes
ON students.class_id=classes.id;

It is not accepted and I get notification saying “Join classes to students.”
If I write it this way than it is ok:
SELECT *
FROM classes
JOIN students
ON classes.id=students.class_id;

I think I don’t fully understand why the first solution is not accepted.
Could anyone advise me please?

Hello 
Both solutions are correct. Codecademy tests sometimes are too strict. Thanks for bringing this to our attention, I will report this as a bug 
Order in INNER JOIN does not matter, both solutions are correct, this is a problem on our side.

In previous lessons maybe lesson 2, i used ‘AS’ keyword to print the table. My output and the answer was same but it was not accepted as i used ‘AS’ keyword. After removing it, my answer was accepted. Is that also a Bug.
Data Science Path
Lesson 3, Multiple Tables Lesson 5Multiple Tables Lesson 51366×768 152 KB
"
7,Can we use WITH for more than one nested query in SQL?,"Get Help,Git",,9,"
Question
Can we use WITH for more than one nested query in SQL?
Answer
Yes, you can use WITH for more than one nested query. You can do so by listing each query using commas after the WITH.
For example,
WITH
query1 AS (SELECT column1 FROM table1 WHERE condition1),
query2 AS (SELECT column2 FROM table2 WHERE condition2)
…

","
How could I solve this problem?

Which of the rows have a price greater than the average of all prices in the dataset? 
Only one table.


Wouldn’t you just do this by comparing the price vs the average in a where clause?
select *
from table_name
where price_col > avg(price_col);


Hello guys. You can’t use AVG on a where clause. To do that you’ll have to do a subquery.
like:
select *
from table_name
where price_col > ( select avg(price_col) from table_name );

I still don’t understand why the return from avg is not possible on where but the return from a subquery is. Hope it helps anyway.




 jephos249:

Question
Can we use WITH for more than one nested query in SQL?
Answer
Yes, you can use WITH for more than one nested query. You can do so by listing each query using commas after the WITH .
For example,
WITH
query1 AS (SELECT column1 FROM table1 WHERE condition1),
query2 AS (SELECT column2 FROM table2 WHERE condition2)
…



Does anyone know a good example on when you might use a WITH with more than 1 nested query?

Just trying to use that in the exercise where I have to separately calculate total points of all users, then total points of over-performers and divide one by another. Not sure if it’s a correct usage or if there is a better way though.

hey why this query cant be used in this given problem ,. can anyone help here?
SELECT customer_id,count(subscription_id) as ‘subscriptions’ from orders join customers on orders.customer_id= customers.customer_id ;

Thought it would be an interesting exercise to see if this problem can be solved using a join instead.
While the output order comes out slightly different, this query works:
SELECT customers.customer_name,
COUNT(subscription_id) AS ‘subscriptions’
FROM orders JOIN customers ON orders.customer_id = customers.customer_id
GROUP BY customers.customer_name;

I also was interested in altering the code and came to the same result that even seems to be leaner and easier.
So, I wonder why using WITH at all while there are other more appealing options. Are there scenarios that can only be solved by using WITH?
"
8,When should we use each type of JOIN?,"Get Help,Git",,1,"
Question
When should we use each type of JOIN covered in the lesson?
Answer
Depending on how you need to select the data, each type of JOIN may accomplish a specific goal.
JOIN (or INNER JOIN)
Use JOIN, or INNER JOIN, when you want to strictly select rows of data that match some condition, provided by an ON clause. For example, if we had tables of employee information, and require their company information, we could JOIN the tables together so that we only obtain results that match, and provide us all the information we need, excluding results that are missing information.
LEFT JOIN
LEFT JOIN can be used when you want to see all the results from the first table no matter what, but also want to include matches, if any, with the second table. For example, say we had a table for customers and another table for purchase information. If we wanted to obtain all customer information, and any purchase information, then a LEFT JOIN might be useful. If the customers made no purchases, their information will still be returned.
CROSS JOIN
CROSS JOIN can be used when you want to get combinations of rows from a table with other tables. A simplified example of using this would be, say we wanted to get every possible combination of a meal, which consists of an appetizer, main course, and dessert. Using a CROSS JOIN can give us every possible combination.
UNION
Although not necessarily a JOIN, UNION can be used when you wish to combine multiple tables together quickly. One helpful feature of a UNION is that it will only return unique rows, so there will be no duplicates in the combined table.
",
9,Can we alias multiple columns in a single query?,"Get Help,Git",,5,"
Question
Can we alias multiple columns in a single query?
Answer
Yes, you can alias multiple columns at a time in the same query.
It is advisable to always include quotes around the new alias. Quotes are required when the alias contains spaces, punctuation marks, special characters or reserved keywords. It is simply more convenient to always include quotes around the new alias.
Example
SELECT course_id AS ""Course ID"", exercise_id AS ""Exercise ID""
FROM bugs;

","
thanks sharing! !!!

thanks for your sharing!

Is it possible to give two aliases to the same column? I would assume not?

It is possible! This is a completely valid query:
SELECT id, name AS ""name 1"", name AS ""name 2"" FROM employees;

Possible? Yes. Useful? Probably not 
"
